0,1
D:/RAE/dataset3_es\voduismo_4.png,voduismo
D:/RAE/dataset3_es\cuestion_7.png,cuestion
D:/RAE/dataset3_es\fluoracion_8.png,fluoracion
D:/RAE/dataset3_es\estupenar_4.png,estupeñar
D:/RAE/dataset3_es\despacioso_8.png,despacioso
D:/RAE/dataset3_es\ciclonal_7.png,ciclonal
D:/RAE/dataset3_es\concionador_3.png,concionador
D:/RAE/dataset3_es\seccionar_5.png,seccionar
D:/RAE/dataset3_es\galan_1.png,galan
D:/RAE/dataset3_es\supuracion_10.png,supuracion
D:/RAE/dataset3_es\quinielista_2.png,quinielista
D:/RAE/dataset3_es\ajardinado_3.png,ajardinado
D:/RAE/dataset3_es\tangano_3.png,tangano
D:/RAE/dataset3_es\tope_13.png,tope
D:/RAE/dataset3_es\otero_0.png,otero
D:/RAE/dataset3_es\envuelto_13.png,envuelto
D:/RAE/dataset3_es\freilar_1.png,freilar
D:/RAE/dataset3_es\substancia_1.png,substancia
D:/RAE/dataset3_es\pulsometro_7.png,pulsometro
D:/RAE/dataset3_es\cataldo_4.png,cataldo
D:/RAE/dataset3_es\revistera_1.png,revistera
D:/RAE/dataset3_es\aguapenar_5.png,aguapeñar
D:/RAE/dataset3_es\andarraya_8.png,andarraya
D:/RAE/dataset3_es\resisar_12.png,resisar
D:/RAE/dataset3_es\zurcidera_7.png,zurcidera
D:/RAE/dataset3_es\pinjante_4.png,pinjante
D:/RAE/dataset3_es\caraja_1.png,caraja
D:/RAE/dataset3_es\impacientar_11.png,impacientar
D:/RAE/dataset3_es\mayombe_8.png,mayombe
D:/RAE/dataset3_es\anoranza_0.png,añoranza
D:/RAE/dataset3_es\xerofito_3.png,xerofito
D:/RAE/dataset3_es\raglan_12.png,raglan
D:/RAE/dataset3_es\peludear_14.png,peludear
D:/RAE/dataset3_es\ceraste_13.png,ceraste
D:/RAE/dataset3_es\repasadera_10.png,repasadera
D:/RAE/dataset3_es\organico_2.png,organico
D:/RAE/dataset3_es\leptorrino_1.png,leptorrino
D:/RAE/dataset3_es\premarital_11.png,premarital
D:/RAE/dataset3_es\cientista_14.png,cientista
D:/RAE/dataset3_es\medina_9.png,medina
D:/RAE/dataset3_es\descoger_12.png,descoger
D:/RAE/dataset3_es\merecido_10.png,merecido
D:/RAE/dataset3_es\tuatua_4.png,tuatua
D:/RAE/dataset3_es\cereipo_5.png,cereipo
D:/RAE/dataset3_es\temperar_8.png,temperar
D:/RAE/dataset3_es\escorchado_11.png,escorchado
D:/RAE/dataset3_es\luciferal_6.png,luciferal
D:/RAE/dataset3_es\carelio_8.png,carelio
D:/RAE/dataset3_es\atrasar_1.png,atrasar
D:/RAE/dataset3_es\ojota_7.png,ojota
D:/RAE/dataset3_es\convocar_12.png,convocar
D:/RAE/dataset3_es\vanagloria_6.png,vanagloria
D:/RAE/dataset3_es\zarandador_8.png,zarandador
D:/RAE/dataset3_es\yesca_13.png,yesca
D:/RAE/dataset3_es\escrofula_2.png,escrofula
D:/RAE/dataset3_es\meteco_3.png,meteco
D:/RAE/dataset3_es\insalvable_7.png,insalvable
D:/RAE/dataset3_es\raticida_4.png,raticida
D:/RAE/dataset3_es\inquisicion_13.png,inquisicion
D:/RAE/dataset3_es\bolindre_7.png,bolindre
D:/RAE/dataset3_es\encantorio_12.png,encantorio
D:/RAE/dataset3_es\cona_7.png,cona
D:/RAE/dataset3_es\titiritar_5.png,titiritar
D:/RAE/dataset3_es\salmonero_11.png,salmonero
D:/RAE/dataset3_es\escamoneado_13.png,escamoneado
D:/RAE/dataset3_es\pinolero_10.png,pinolero
D:/RAE/dataset3_es\deixis_11.png,deixis
D:/RAE/dataset3_es\recuesto_7.png,recuesto
D:/RAE/dataset3_es\engordador_8.png,engordador
D:/RAE/dataset3_es\especiota_5.png,especiota
D:/RAE/dataset3_es\monon_7.png,monon
D:/RAE/dataset3_es\cadillar_11.png,cadillar
D:/RAE/dataset3_es\fotograma_11.png,fotograma
D:/RAE/dataset3_es\nunoa_0.png,ñuñoa
D:/RAE/dataset3_es\despampanar_14.png,despampanar
D:/RAE/dataset3_es\calvicie_1.png,calvicie
D:/RAE/dataset3_es\baquira_2.png,baquira
D:/RAE/dataset3_es\alantoides_7.png,alantoides
D:/RAE/dataset3_es\quimerino_11.png,quimerino
D:/RAE/dataset3_es\pina_2.png,piña
D:/RAE/dataset3_es\remendon_8.png,remendon
D:/RAE/dataset3_es\olear_14.png,olear
D:/RAE/dataset3_es\alacridad_2.png,alacridad
D:/RAE/dataset3_es\extranarse_8.png,extrañarse
D:/RAE/dataset3_es\estallido_8.png,estallido
D:/RAE/dataset3_es\zarracina_4.png,zarracina
D:/RAE/dataset3_es\bragazas_5.png,bragazas
D:/RAE/dataset3_es\nativo_4.png,nativo
D:/RAE/dataset3_es\caribello_12.png,caribello
D:/RAE/dataset3_es\aguambado_6.png,aguambado
D:/RAE/dataset3_es\inerrable_6.png,inerrable
D:/RAE/dataset3_es\abasi_7.png,abasi
D:/RAE/dataset3_es\higuerote_0.png,higuerote
D:/RAE/dataset3_es\rambla_10.png,rambla
D:/RAE/dataset3_es\saguaro_9.png,saguaro
D:/RAE/dataset3_es\torturar_4.png,torturar
D:/RAE/dataset3_es\enlustrecer_14.png,enlustrecer
D:/RAE/dataset3_es\extrabase_4.png,extrabase
D:/RAE/dataset3_es\seisen_3.png,seisen
D:/RAE/dataset3_es\educable_13.png,educable
D:/RAE/dataset3_es\imbricacion_1.png,imbricacion
D:/RAE/dataset3_es\adral_12.png,adral
D:/RAE/dataset3_es\convoyar_9.png,convoyar
D:/RAE/dataset3_es\decalitro_2.png,decalitro
D:/RAE/dataset3_es\soldadesco_1.png,soldadesco
D:/RAE/dataset3_es\biomedicina_5.png,biomedicina
D:/RAE/dataset3_es\conetear_6.png,coñetear
D:/RAE/dataset3_es\untoso_4.png,untoso
D:/RAE/dataset3_es\chinero_9.png,chinero
D:/RAE/dataset3_es\pactista_3.png,pactista
D:/RAE/dataset3_es\canajelga_4.png,canajelga
D:/RAE/dataset3_es\malsindad_12.png,malsindad
D:/RAE/dataset3_es\ladon_7.png,ladon
D:/RAE/dataset3_es\cariofilina_14.png,cariofilina
D:/RAE/dataset3_es\altivecer_6.png,altivecer
D:/RAE/dataset3_es\unicamente_3.png,unicamente
D:/RAE/dataset3_es\etiquetador_6.png,etiquetador
D:/RAE/dataset3_es\acatolico_3.png,acatolico
D:/RAE/dataset3_es\desatranco_11.png,desatranco
D:/RAE/dataset3_es\desmananado_6.png,desmañanado
D:/RAE/dataset3_es\pedicurista_10.png,pedicurista
D:/RAE/dataset3_es\rondar_12.png,rondar
D:/RAE/dataset3_es\peraile_12.png,peraile
D:/RAE/dataset3_es\surafricano_6.png,surafricano
D:/RAE/dataset3_es\mascada_3.png,mascada
D:/RAE/dataset3_es\cacofonia_0.png,cacofonia
D:/RAE/dataset3_es\fontanar_12.png,fontanar
D:/RAE/dataset3_es\unanime_2.png,unanime
D:/RAE/dataset3_es\riolada_5.png,riolada
D:/RAE/dataset3_es\chiton_3.png,chiton
D:/RAE/dataset3_es\hachis_6.png,hachis
D:/RAE/dataset3_es\graneado_0.png,graneado
D:/RAE/dataset3_es\esplenetico_10.png,esplenetico
D:/RAE/dataset3_es\cadaveroso_13.png,cadaveroso
D:/RAE/dataset3_es\varice_14.png,varice
D:/RAE/dataset3_es\hidrologico_12.png,hidrologico
D:/RAE/dataset3_es\acunamiento_1.png,acuñamiento
D:/RAE/dataset3_es\codicologia_13.png,codicologia
D:/RAE/dataset3_es\centenoso_11.png,centenoso
D:/RAE/dataset3_es\pelitrique_7.png,pelitrique
D:/RAE/dataset3_es\tabla_14.png,tabla
D:/RAE/dataset3_es\ajada_10.png,ajada
D:/RAE/dataset3_es\polipeptido_8.png,polipeptido
D:/RAE/dataset3_es\gualdado_13.png,gualdado
D:/RAE/dataset3_es\destenir_1.png,destenir
D:/RAE/dataset3_es\zonazo_11.png,zoñazo
D:/RAE/dataset3_es\cedrito_1.png,cedrito
D:/RAE/dataset3_es\paraselene_14.png,paraselene
D:/RAE/dataset3_es\recalce_9.png,recalce
D:/RAE/dataset3_es\incurrir_5.png,incurrir
D:/RAE/dataset3_es\acatalecto_0.png,acatalecto
D:/RAE/dataset3_es\aldopentosa_6.png,aldopentosa
D:/RAE/dataset3_es\pairear_0.png,pairear
D:/RAE/dataset3_es\fallero_4.png,fallero
D:/RAE/dataset3_es\conceller_6.png,conceller
D:/RAE/dataset3_es\postural_9.png,postural
D:/RAE/dataset3_es\tropico_11.png,tropico
D:/RAE/dataset3_es\leprosero_3.png,leprosero
D:/RAE/dataset3_es\aburridor_7.png,aburridor
D:/RAE/dataset3_es\fobico_8.png,fobico
D:/RAE/dataset3_es\purgante_10.png,purgante
D:/RAE/dataset3_es\atatay_3.png,atatay
D:/RAE/dataset3_es\monoplano_1.png,monoplano
D:/RAE/dataset3_es\sobrecrecer_6.png,sobrecrecer
D:/RAE/dataset3_es\seductivo_5.png,seductivo
D:/RAE/dataset3_es\regatonear_12.png,regatonear
D:/RAE/dataset3_es\encantacion_8.png,encantacion
D:/RAE/dataset3_es\fluoracion_0.png,fluoracion
D:/RAE/dataset3_es\contrallar_7.png,contrallar
D:/RAE/dataset3_es\timbirimba_0.png,timbirimba
D:/RAE/dataset3_es\dobladura_13.png,dobladura
D:/RAE/dataset3_es\cerrejon_13.png,cerrejon
D:/RAE/dataset3_es\halaguero_6.png,halaguero
D:/RAE/dataset3_es\desvelar_1.png,desvelar
D:/RAE/dataset3_es\techado_7.png,techado
D:/RAE/dataset3_es\guindamaina_13.png,guindamaina
D:/RAE/dataset3_es\lectoria_1.png,lectoria
D:/RAE/dataset3_es\hormiguera_8.png,hormiguera
D:/RAE/dataset3_es\marcola_14.png,marcola
D:/RAE/dataset3_es\polvora_11.png,polvora
D:/RAE/dataset3_es\vena_0.png,vena
D:/RAE/dataset3_es\himen_8.png,himen
D:/RAE/dataset3_es\yersi_14.png,yersi
D:/RAE/dataset3_es\pensamiento_11.png,pensamiento
D:/RAE/dataset3_es\cervatillo_14.png,cervatillo
D:/RAE/dataset3_es\holgon_1.png,holgon
D:/RAE/dataset3_es\jordano_1.png,jordano
D:/RAE/dataset3_es\tiro_6.png,tiro
D:/RAE/dataset3_es\emperrarse_6.png,emperrarse
D:/RAE/dataset3_es\comprometer_5.png,comprometer
D:/RAE/dataset3_es\carneada_2.png,carneada
D:/RAE/dataset3_es\cazoleja_6.png,cazoleja
D:/RAE/dataset3_es\tenia_5.png,tenia
D:/RAE/dataset3_es\astringente_9.png,astringente
D:/RAE/dataset3_es\broncineo_11.png,broncineo
D:/RAE/dataset3_es\guiri_6.png,guiri
D:/RAE/dataset3_es\gallinaceo_5.png,gallinaceo
D:/RAE/dataset3_es\sequizo_14.png,sequizo
D:/RAE/dataset3_es\axiomatico_11.png,axiomatico
D:/RAE/dataset3_es\ciego_12.png,ciego
D:/RAE/dataset3_es\culpeo_3.png,culpeo
D:/RAE/dataset3_es\ferir_8.png,ferir
D:/RAE/dataset3_es\serrijon_11.png,serrijon
D:/RAE/dataset3_es\bizna_13.png,bizna
D:/RAE/dataset3_es\panetela_12.png,panetela
D:/RAE/dataset3_es\ignivomo_4.png,ignivomo
D:/RAE/dataset3_es\planeticola_0.png,planeticola
D:/RAE/dataset3_es\agravatorio_11.png,agravatorio
D:/RAE/dataset3_es\bedelio_6.png,bedelio
D:/RAE/dataset3_es\acianos_10.png,acianos
D:/RAE/dataset3_es\decrepitud_9.png,decrepitud
D:/RAE/dataset3_es\sextilla_5.png,sextilla
D:/RAE/dataset3_es\chofer_10.png,chofer
D:/RAE/dataset3_es\avuguero_7.png,avuguero
D:/RAE/dataset3_es\arrizar_6.png,arrizar
D:/RAE/dataset3_es\arguenas_9.png,arguenas
D:/RAE/dataset3_es\viticultura_5.png,viticultura
D:/RAE/dataset3_es\fotosfera_9.png,fotosfera
D:/RAE/dataset3_es\parlante_5.png,parlante
D:/RAE/dataset3_es\resolgar_10.png,resolgar
D:/RAE/dataset3_es\cantonearse_10.png,cantonearse
D:/RAE/dataset3_es\repasadera_13.png,repasadera
D:/RAE/dataset3_es\fondear_5.png,fondear
D:/RAE/dataset3_es\arguyente_4.png,arguyente
D:/RAE/dataset3_es\bicromato_1.png,bicromato
D:/RAE/dataset3_es\diferencial_1.png,diferencial
D:/RAE/dataset3_es\etarra_6.png,etarra
D:/RAE/dataset3_es\palmares_14.png,palmares
D:/RAE/dataset3_es\herrar_4.png,herrar
D:/RAE/dataset3_es\desentido_1.png,desentido
D:/RAE/dataset3_es\zalbo_12.png,zalbo
D:/RAE/dataset3_es\himpar_11.png,himpar
D:/RAE/dataset3_es\alfanje_1.png,alfanje
D:/RAE/dataset3_es\mesero_11.png,mesero
D:/RAE/dataset3_es\robinson_7.png,robinson
D:/RAE/dataset3_es\parrafeo_0.png,parrafeo
D:/RAE/dataset3_es\rehalero_3.png,rehalero
D:/RAE/dataset3_es\vuesenoria_4.png,vuesenoria
D:/RAE/dataset3_es\dineral_9.png,dineral
D:/RAE/dataset3_es\repizcar_3.png,repizcar
D:/RAE/dataset3_es\lacho_9.png,lacho
D:/RAE/dataset3_es\estrategico_3.png,estrategico
D:/RAE/dataset3_es\taba_0.png,taba
D:/RAE/dataset3_es\jorga_2.png,jorga
D:/RAE/dataset3_es\fragor_6.png,fragor
D:/RAE/dataset3_es\terroso_11.png,terroso
D:/RAE/dataset3_es\diversivo_10.png,diversivo
D:/RAE/dataset3_es\haitiano_7.png,haitiano
D:/RAE/dataset3_es\avuguero_8.png,avuguero
D:/RAE/dataset3_es\clamar_11.png,clamar
D:/RAE/dataset3_es\celulado_9.png,celulado
D:/RAE/dataset3_es\colicuacion_13.png,colicuacion
D:/RAE/dataset3_es\prestamista_0.png,prestamista
D:/RAE/dataset3_es\naiboa_6.png,naiboa
D:/RAE/dataset3_es\weimares_2.png,weimares
D:/RAE/dataset3_es\odeon_5.png,odeon
D:/RAE/dataset3_es\colihual_11.png,colihual
D:/RAE/dataset3_es\pactista_10.png,pactista
D:/RAE/dataset3_es\tascador_14.png,tascador
D:/RAE/dataset3_es\fajado_9.png,fajado
D:/RAE/dataset3_es\faltrero_4.png,faltrero
D:/RAE/dataset3_es\quejoso_14.png,quejoso
D:/RAE/dataset3_es\caballo_2.png,caballo
D:/RAE/dataset3_es\fondear_0.png,fondear
D:/RAE/dataset3_es\candilejo_10.png,candilejo
D:/RAE/dataset3_es\pargo_1.png,pargo
D:/RAE/dataset3_es\acerrimo_9.png,acerrimo
D:/RAE/dataset3_es\vizconde_10.png,vizconde
D:/RAE/dataset3_es\diecisiete_3.png,diecisiete
D:/RAE/dataset3_es\panalero_8.png,pañalero
D:/RAE/dataset3_es\romanina_2.png,romanina
D:/RAE/dataset3_es\horripilar_0.png,horripilar
D:/RAE/dataset3_es\botero_13.png,botero
D:/RAE/dataset3_es\premio_11.png,premio
D:/RAE/dataset3_es\alimanero_6.png,alimanero
D:/RAE/dataset3_es\hemina_2.png,hemina
D:/RAE/dataset3_es\multietnico_10.png,multietnico
D:/RAE/dataset3_es\getulo_13.png,getulo
D:/RAE/dataset3_es\sombrereria_6.png,sombrereria
D:/RAE/dataset3_es\sesudamente_3.png,sesudamente
D:/RAE/dataset3_es\potabilidad_13.png,potabilidad
D:/RAE/dataset3_es\requesoner_0.png,requesoner
D:/RAE/dataset3_es\aplazable_10.png,aplazable
D:/RAE/dataset3_es\esquiador_2.png,esquiador
D:/RAE/dataset3_es\mediocridad_12.png,mediocridad
D:/RAE/dataset3_es\pugilismo_2.png,pugilismo
D:/RAE/dataset3_es\encebollado_2.png,encebollado
D:/RAE/dataset3_es\bonancible_8.png,bonancible
D:/RAE/dataset3_es\puber_9.png,puber
D:/RAE/dataset3_es\weimares_10.png,weimares
D:/RAE/dataset3_es\despepar_7.png,despepar
D:/RAE/dataset3_es\moaxaja_0.png,moaxaja
D:/RAE/dataset3_es\dina_0.png,dina
D:/RAE/dataset3_es\miurada_5.png,miurada
D:/RAE/dataset3_es\abortero_8.png,abortero
D:/RAE/dataset3_es\acubilar_14.png,acubilar
D:/RAE/dataset3_es\maestria_7.png,maestria
D:/RAE/dataset3_es\hadador_5.png,hadador
D:/RAE/dataset3_es\oratoriano_7.png,oratoriano
D:/RAE/dataset3_es\glaucio_0.png,glaucio
D:/RAE/dataset3_es\bipedalismo_3.png,bipedalismo
D:/RAE/dataset3_es\conyudice_7.png,conyudice
D:/RAE/dataset3_es\incalmable_7.png,incalmable
D:/RAE/dataset3_es\coscas_6.png,coscas
D:/RAE/dataset3_es\mulero_1.png,mulero
D:/RAE/dataset3_es\ministrable_9.png,ministrable
D:/RAE/dataset3_es\pugnar_13.png,pugnar
D:/RAE/dataset3_es\acromatico_12.png,acromatico
D:/RAE/dataset3_es\sudoeste_9.png,sudoeste
D:/RAE/dataset3_es\zarcillo_4.png,zarcillo
D:/RAE/dataset3_es\calzatrepas_5.png,calzatrepas
D:/RAE/dataset3_es\fechura_7.png,fechura
D:/RAE/dataset3_es\argel_14.png,argel
D:/RAE/dataset3_es\enchavetar_14.png,enchavetar
D:/RAE/dataset3_es\timidez_10.png,timidez
D:/RAE/dataset3_es\tecleado_1.png,tecleado
D:/RAE/dataset3_es\inmaduro_10.png,inmaduro
D:/RAE/dataset3_es\sinfonismo_10.png,sinfonismo
D:/RAE/dataset3_es\fontaneria_6.png,fontaneria
D:/RAE/dataset3_es\consuno_4.png,consuno
D:/RAE/dataset3_es\pital_3.png,pital
D:/RAE/dataset3_es\irunes_12.png,irunes
D:/RAE/dataset3_es\pringapie_2.png,pringapie
D:/RAE/dataset3_es\estricarse_11.png,estricarse
D:/RAE/dataset3_es\paria_7.png,paria
D:/RAE/dataset3_es\teodicea_14.png,teodicea
D:/RAE/dataset3_es\broker_9.png,broker
D:/RAE/dataset3_es\escoplear_5.png,escoplear
D:/RAE/dataset3_es\calmudo_11.png,calmudo
D:/RAE/dataset3_es\honra_0.png,honra
D:/RAE/dataset3_es\jalmeria_8.png,jalmeria
D:/RAE/dataset3_es\fuisca_9.png,fuisca
D:/RAE/dataset3_es\anoxia_4.png,anoxia
D:/RAE/dataset3_es\mojel_12.png,mojel
D:/RAE/dataset3_es\ansiolitico_8.png,ansiolitico
D:/RAE/dataset3_es\irlandes_4.png,irlandes
D:/RAE/dataset3_es\marinerazo_0.png,marinerazo
D:/RAE/dataset3_es\impaciente_7.png,impaciente
D:/RAE/dataset3_es\descosedura_5.png,descosedura
D:/RAE/dataset3_es\arano_1.png,arano
D:/RAE/dataset3_es\asaltador_11.png,asaltador
D:/RAE/dataset3_es\penalizador_2.png,penalizador
D:/RAE/dataset3_es\prosear_11.png,prosear
D:/RAE/dataset3_es\acebuchal_9.png,acebuchal
D:/RAE/dataset3_es\hoce_0.png,hoce
D:/RAE/dataset3_es\ensartado_11.png,ensartado
D:/RAE/dataset3_es\sesudamente_7.png,sesudamente
D:/RAE/dataset3_es\almohazar_2.png,almohazar
D:/RAE/dataset3_es\chuparrosa_8.png,chuparrosa
D:/RAE/dataset3_es\bayonense_12.png,bayonense
D:/RAE/dataset3_es\ternejon_0.png,ternejon
D:/RAE/dataset3_es\cuyo_3.png,cuyo
D:/RAE/dataset3_es\chupada_10.png,chupada
D:/RAE/dataset3_es\carbuncosis_2.png,carbuncosis
D:/RAE/dataset3_es\cundiamor_14.png,cundiamor
D:/RAE/dataset3_es\variamente_10.png,variamente
D:/RAE/dataset3_es\sapito_11.png,sapito
D:/RAE/dataset3_es\geomantico_2.png,geomantico
D:/RAE/dataset3_es\emparedar_6.png,emparedar
D:/RAE/dataset3_es\titulacion_1.png,titulacion
D:/RAE/dataset3_es\deshijar_13.png,deshijar
D:/RAE/dataset3_es\casar_11.png,casar
D:/RAE/dataset3_es\baratillero_13.png,baratillero
D:/RAE/dataset3_es\jora_9.png,jora
D:/RAE/dataset3_es\cupulifero_3.png,cupulifero
D:/RAE/dataset3_es\nanear_6.png,nanear
D:/RAE/dataset3_es\barquilla_12.png,barquilla
D:/RAE/dataset3_es\rigil_4.png,rigil
D:/RAE/dataset3_es\fusileria_9.png,fusileria
D:/RAE/dataset3_es\chamurrar_6.png,chamurrar
D:/RAE/dataset3_es\ariscarse_9.png,ariscarse
D:/RAE/dataset3_es\encanador_13.png,encanador
D:/RAE/dataset3_es\supletorio_11.png,supletorio
D:/RAE/dataset3_es\barbanil_9.png,barbañil
D:/RAE/dataset3_es\relente_0.png,relente
D:/RAE/dataset3_es\escribiente_5.png,escribiente
D:/RAE/dataset3_es\pintiparar_14.png,pintiparar
D:/RAE/dataset3_es\claraboya_12.png,claraboya
D:/RAE/dataset3_es\mil_13.png,mil
D:/RAE/dataset3_es\azuayo_8.png,azuayo
D:/RAE/dataset3_es\platea_12.png,platea
D:/RAE/dataset3_es\dicente_14.png,dicente
D:/RAE/dataset3_es\manganeso_11.png,manganeso
D:/RAE/dataset3_es\suevo_14.png,suevo
D:/RAE/dataset3_es\enmarrocar_3.png,enmarrocar
D:/RAE/dataset3_es\cagueta_12.png,cagueta
D:/RAE/dataset3_es\enmienda_12.png,enmienda
D:/RAE/dataset3_es\tegua_8.png,tegua
D:/RAE/dataset3_es\trapajoso_10.png,trapajoso
D:/RAE/dataset3_es\bufa_0.png,bufa
D:/RAE/dataset3_es\estadio_0.png,estadio
D:/RAE/dataset3_es\profesion_12.png,profesion
D:/RAE/dataset3_es\robachicos_0.png,robachicos
D:/RAE/dataset3_es\cachondeo_2.png,cachondeo
D:/RAE/dataset3_es\Coran_14.png,Coran
D:/RAE/dataset3_es\efemeride_0.png,efemeride
D:/RAE/dataset3_es\triseccion_10.png,triseccion
D:/RAE/dataset3_es\prestatario_10.png,prestatario
D:/RAE/dataset3_es\chaspear_5.png,chaspear
D:/RAE/dataset3_es\llorar_12.png,llorar
D:/RAE/dataset3_es\lave_5.png,lave
D:/RAE/dataset3_es\turbonada_11.png,turbonada
D:/RAE/dataset3_es\tepalcate_10.png,tepalcate
D:/RAE/dataset3_es\culumbron_9.png,culumbron
D:/RAE/dataset3_es\ilergete_6.png,ilergete
D:/RAE/dataset3_es\musicante_4.png,musicante
D:/RAE/dataset3_es\zapateta_8.png,zapateta
D:/RAE/dataset3_es\dictablanda_9.png,dictablanda
D:/RAE/dataset3_es\imperador_1.png,imperador
